S. No.    Repo Name                                                   Product Type                            Count     
75        ODXP-DPLOY--odx-config-pfb-deploy                           SMB_DAO                                 19        
76        ODXP-DPLOY--odx-config-pod-deploy                           CREDIT_CARD_SELF_SERVICE                1         
77        ODXP-DPLOY--odx-config-qa1-deploy                           CONSUMER_UIL                            1         
78        ODXP-DPLOY--odx-config-qa2-deploy                           CONSUMER_DAO                            8         
79        ODXP-DPLOY--odx-config-qa2-deploy                           CONSUMER_UIL                            11        
80        ODXP-DPLOY--odx-config-qa2-deploy                           CREDIT_CARD_SELF_SERVICE                10        
81        ODXP-DPLOY--odx-config-qa2-deploy                           DEV_LEARNING                            1         
82        ODXP-DPLOY--odx-config-qa2-deploy                           SMB_CREDIT_CARD                         8         
83        ODXP-DPLOY--odx-config-qa2-deploy                           SMB_DAO                                 10        
84        ODXP-DPLOY--odx-config-qa2-deploy                           SMB_LOC                                 4         
85        ODXP-DPLOY--odx-config-qa2-deploy                           SMB_TL                                  4         
86        ODXP-DPLOY--odx-config-qa2-deploy                           UIL                                     1         
87        ODXP-DPLOY--odx-config-qa3-deploy                           CONSUMER_DAO                            2         
88        ODXP-DPLOY--odx-config-qa3-deploy                           CREDIT_CARD_SELF_SERVICE                2         
89        ODXP-DPLOY--odx-config-qa3-deploy                           SMB_CREDIT_CARD                         2         
90        ODXP-DPLOY--odx-config-qa3-deploy                           SMB_DAO                                 2         
91        ODXP-DPLOY--odx-config-qa4-deploy                           CONSUMER_DAO                            3         
92        ODXP-DPLOY--odx-config-qa4-deploy                           CREDIT_CARD_SELF_SERVICE                2         
93        ODXP-DPLOY--odx-config-qa4-deploy                           SMB_CREDIT_CARD                         3         
94        ODXP-DPLOY--odx-config-qa4-deploy                           SMB_DAO                                 2         
95        ODXP-DPLOY--odx-config-qa5-deploy                           CONSUMER_DAO                            3         
96        ODXP-DPLOY--odx-config-qa5-deploy                           CREDIT_CARD_SELF_SERVICE                6         
97        ODXP-DPLOY--odx-config-qa5-deploy                           SMB_CREDIT_CARD                         3         
98        ODXP-DPLOY--odx-config-qa5-deploy                           SMB_DAO                                 3         
99        ODXP-DPLOY--odx-config-qat-deploy                           CONSUMER_DAO                            7         
100       ODXP-DPLOY--odx-config-qat-deploy                           CREDIT_CARD                             3         
101       ODXP-DPLOY--odx-config-qat-deploy                           CREDIT_CARD_SELF_SERVICE                13        
102       ODXP-DPLOY--odx-config-qat-deploy                           SMB_CREDIT_CARD                         6         
103       ODXP-DPLOY--odx-config-qat-deploy                           SMB_DAO                                 6         
104       ODXP-DPLOY--odx-config-qat-deploy                           SMB_LOC                                 4         
105       ODXP-DPLOY--odx-config-qat-deploy                           SMB_TL                                  4         
106       ODXP-DPLOY--odx-config-qat-deploy                           UIL                                     1         
107       ODXP-DPLOY--odx-config-rvc-deploy                           CONSUMER_DAO                            8         
108       ODXP-DPLOY--odx-config-rvc-deploy                           SMB_DAO                                 6         
109       ODXP-DPLOY--odx-config-sbu-deploy                           CREDIT_CARD_SELF_SERVICE                2         
110       ODXP-DPLOY--odx-config-sbu-deploy                           SMB_CREDIT_CARD                         2         
111       ODXP-DPLOY--odx-config-slt-deploy                           UIL                                     2         
112       ODXP-DPLOY--odx-config-sol-deploy                           CONSUMER_DAO                            4         
113       ODXP-DPLOY--odx-config-sol-deploy                           SMB_DAO                                 5         
114       ODXP-DPLOY--odx-config-tfc-deploy                           CREDIT_CARD_SELF_SERVICE                3         
115       ODXP-DPLOY--odx-config-umd-deploy                           CREDIT_CARD                             1         
116       ODXP-DPLOY--odx-config-umd-deploy                           CREDIT_CARD_SELF_SERVICE                1         
117       ODXP-DPLOY--odx-config-uoi-deploy                           CREDIT_CARD                             7         
118       ODXP-DPLOY--odx-config-uoi-deploy                           CREDIT_CARD_SELF_SERVICE                11        
119       ODXP-DPLOY--odx-config-vnb-deploy                           CONSUMER_DAO                            9         
120       ODXP-DPLOY--odx-config-vnb-deploy                           SMB_DAO                                 7         
